,Year,Time from Start to Finish (seconds),Q1,Q2,Q2_OTHER_TEXT,Q9_Part_1,Q9_Part_2,Q9_Part_3,Q9_Part_4,Q9_Part_5,Q9_Part_6,Q9_Part_7,Q9_Part_8,Q9_OTHER_TEXT,Q10,Q11
21,2019,1529,22-24,Female,-1,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,,,,,-1,"20,000-24,999","> $100,000 ($USD)"
22,2019,979,35-39,Male,-1,Analyze and understand data to influence product or business decisions,,,,,,,,-1,"125,000-149,999",$0 (USD)
23,2019,691,25-29,Male,-1,Analyze and understand data to influence product or business decisions,,,,,,,,-1,$0-999,$1-$99
24,2019,1146,40-44,Male,-1,,,,,,,,,-1,"10,000-14,999","$1000-$9,999"
25,2019,377,25-29,Male,-1,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,,Do research that advances the state of the art of machine learning,,,-1,"15,000-19,999",$0 (USD)
26,2019,379,30-34,Male,-1,,,,,,,,,-1,"20,000-24,999","$1000-$9,999"
27,2019,353,35-39,Male,-1,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,,-1,"100,000-124,999","$10,000-$99,999"
28,2019,518,25-29,Male,-1,,,,,,,,,-1,,
29,2019,528,30-34,Female,-1,,,,,,,,,-1,$0-999,$1-$99
30,2019,615,25-29,Female,-1,,,,,,Do research that advances the state of the art of machine learning,,,-1,$0-999,$0 (USD)
31,2019,1486,30-34,Male,-1,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,,-1,"90,000-99,999",$0 (USD)
32,2019,538,30-34,Male,-1,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,,,Do research that advances the state of the art of machine learning,,,-1,"7,500-9,999",$100-$999
33,2019,884,25-29,Female,-1,,,,,,,,,-1,$0-999,$0 (USD)
34,2019,402,30-34,Female,-1,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,,-1,"150,000-199,999","> $100,000 ($USD)"
35,2019,448,22-24,Male,-1,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,,-1,"10,000-14,999","> $100,000 ($USD)"
36,2019,1023,25-29,Male,-1,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,,-1,"7,500-9,999","$10,000-$99,999"
37,2019,384,35-39,Male,-1,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,,,,,-1,"10,000-14,999",$100-$999
38,2019,973,25-29,Male,-1,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,,,,,-1,"25,000-29,999",$1-$99
39,2019,843,35-39,Male,-1,,,,,,,,Other,1,"40,000-49,999",$0 (USD)
40,2019,1341,30-34,Female,-1,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,Build and/or run a machine learning service that operationally improves my product or workflows,,,,,-1,"90,000-99,999","> $100,000 ($USD)"
41,2019,621,25-29,Male,-1,,,,,,,None of these activities are an important part of my role at work,,-1,"5,000-7,499","$1000-$9,999"
42,2019,334,22-24,Male,-1,,,,,,,,,-1,,
43,2019,578,22-24,Male,-1,,,,,,,,,-1,,
44,2019,529,35-39,Male,-1,,,Build prototypes to explore applying machine learning to new areas,,,,,,-1,"3,000-3,999",$0 (USD)
45,2019,538,25-29,Male,-1,,,,,,,,,-1,"2,000-2,999",$100-$999
46,2019,380,22-24,Male,-1,,,,,,,,,-1,"10,000-14,999",$0 (USD)
47,2019,691,25-29,Male,-1,Analyze and understand data to influence product or business decisions,,,,,,,,-1,"10,000-14,999",$0 (USD)
48,2019,648,25-29,Male,-1,,,,,,,,,-1,$0-999,$0 (USD)
49,2019,352,35-39,Female,-1,,,,,,,,,-1,"40,000-49,999",$1-$99
50,2019,402,30-34,Male,-1,,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,,-1,"40,000-49,999","$1000-$9,999"
51,2019,682,35-39,Male,-1,,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,,-1,"150,000-199,999",$1-$99
52,2019,389,25-29,Male,-1,,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,Build and/or run a machine learning service that operationally improves my product or workflows,,,,,-1,"3,000-3,999",$0 (USD)
53,2019,507,18-21,Male,-1,,,,,,,,,-1,,
54,2019,1868,30-34,Male,-1,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,,-1,"80,000-89,999","$1000-$9,999"
55,2019,523,25-29,Male,-1,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,,,,,,-1,"60,000-69,999",$100-$999
56,2019,682,25-29,Male,-1,,,,,,,,,-1,$0-999,$1-$99
57,2019,578,45-49,Female,-1,,,,,,,,,-1,"2,000-2,999",$1-$99
58,2019,831,40-44,Male,-1,,,,,,,,,-1,"1,000-1,999","$1000-$9,999"
59,2019,443,30-34,Male,-1,Analyze and understand data to influence product or business decisions,,,,,Do research that advances the state of the art of machine learning,,,-1,"150,000-199,999",$0 (USD)
60,2019,1013,22-24,Female,-1,,,,,,,,,-1,,
61,2019,448,35-39,Male,-1,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,,-1,"40,000-49,999","$10,000-$99,999"
62,2019,691,30-34,Male,-1,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,,,,,,-1,"100,000-124,999",$100-$999
63,2019,585,25-29,Female,-1,,,,,,,,,-1,,
64,2019,748,22-24,Male,-1,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,,,,-1,"40,000-49,999",$100-$999
65,2019,446,35-39,Prefer to self-describe,0,,,Build prototypes to explore applying machine learning to new areas,,,,,,-1,"40,000-49,999",$0 (USD)
66,2019,462,40-44,Male,-1,,,,,,,,,-1,"15,000-19,999",$0 (USD)
67,2019,474,25-29,Prefer not to say,-1,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,,-1,"200,000-249,999","> $100,000 ($USD)"
68,2019,627,18-21,Male,-1,,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,,-1,"10,000-14,999",$1-$99
69,2019,548,22-24,Male,-1,,,,,,,,,-1,"15,000-19,999",$0 (USD)
70,2019,573,22-24,Male,-1,,,,,,,,,-1,,
71,2019,711,30-34,Male,-1,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,,-1,"20,000-24,999",$0 (USD)
72,2019,703,22-24,Male,-1,,,,,,,,,-1,"50,000-59,999",$0 (USD)
73,2019,287,18-21,Male,-1,,,,,,,,,-1,,
74,2019,610,18-21,Male,-1,,,,,,,,,-1,,
75,2019,431,30-34,Female,-1,,,,,,,,,-1,$0-999,$0 (USD)
76,2019,575,22-24,Male,-1,,,,,,,,,-1,,
77,2019,514,35-39,Male,-1,,,Build prototypes to explore applying machine learning to new areas,,,,,,-1,"1,000-1,999",$0 (USD)
78,2019,485,35-39,Male,-1,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,,-1,"125,000-149,999","$1000-$9,999"
79,2019,419,18-21,Male,-1,,,,,,,,,-1,,
80,2019,69,30-34,Male,-1,,,,,,,,,-1,,
81,2019,326,30-34,Male,-1,Analyze and understand data to influence product or business decisions,,,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,,-1,"15,000-19,999",$0 (USD)
82,2019,284,25-29,Male,-1,,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,,,,,-1,"70,000-79,999",$0 (USD)
83,2019,392,25-29,Male,-1,,,,,,,,,-1,"1,000-1,999",$1-$99
84,2019,367,22-24,Female,-1,,,,,,,,,-1,,
85,2019,414,30-34,Male,-1,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,,,,,,-1,"70,000-79,999","> $100,000 ($USD)"
86,2019,369,30-34,Female,-1,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,,,,-1,"125,000-149,999","$10,000-$99,999"
87,2019,558,22-24,Male,-1,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,,,,,,-1,"40,000-49,999","$1000-$9,999"
88,2019,751,22-24,Male,-1,Analyze and understand data to influence product or business decisions,,,,,Do research that advances the state of the art of machine learning,,,-1,"125,000-149,999",$100-$999
89,2019,680,30-34,Male,-1,,,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,,-1,"60,000-69,999",$100-$999
90,2019,673,25-29,Male,-1,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,,-1,"40,000-49,999",$1-$99
91,2019,403,22-24,Male,-1,,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,,-1,$0-999,$1-$99
92,2019,712,35-39,Male,-1,,,,,,,None of these activities are an important part of my role at work,,-1,"40,000-49,999",$0 (USD)
93,2019,413,30-34,Male,-1,Analyze and understand data to influence product or business decisions,,,,,,,,-1,"40,000-49,999",$100-$999
94,2019,906,45-49,Male,-1,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,,,,,,-1,"90,000-99,999","$1000-$9,999"
95,2019,440,22-24,Male,-1,,,,,,,,,-1,"4,000-4,999",$1-$99
96,2019,805,22-24,Male,-1,,,,,,,,,-1,"10,000-14,999",$0 (USD)
97,2019,345,30-34,Male,-1,,,,,,,,,-1,"50,000-59,999",$1-$99
98,2019,515,30-34,Male,-1,,,,,,,,,-1,"10,000-14,999",$1-$99
99,2019,1036,25-29,Male,-1,,,Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,,,,-1,"30,000-39,999",$0 (USD)
100,2019,991,35-39,Prefer not to say,-1,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,,,,,-1,"200,000-249,999",$0 (USD)
101,2019,379,18-21,Male,-1,,,,,,,,,-1,,
102,2019,1633,25-29,Female,-1,,,,,,,,,-1,$0-999,$0 (USD)
103,2019,356,22-24,Male,-1,,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,,,,,-1,"4,000-4,999",$0 (USD)
104,2019,462,50-54,Male,-1,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,,,,-1,"60,000-69,999","$1000-$9,999"
105,2019,627,30-34,Male,-1,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,,-1,"125,000-149,999","$10,000-$99,999"
106,2019,492,30-34,Male,-1,,,,,,,,,-1,,
107,2019,272,25-29,Male,-1,,,,,,,,,-1,,
108,2019,464,30-34,Female,-1,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,,,,,-1,"100,000-124,999","$10,000-$99,999"
109,2019,489,18-21,Male,-1,,,,,,,,,-1,,
110,2019,474,35-39,Male,-1,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,,-1,"70,000-79,999","$1000-$9,999"
111,2019,537,25-29,Male,-1,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,,,,,,-1,"90,000-99,999","> $100,000 ($USD)"
112,2019,677,25-29,Female,-1,,,,,,,,,-1,,
113,2019,1099,25-29,Male,-1,,,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,,-1,"25,000-29,999",$0 (USD)
114,2019,660,45-49,Male,-1,,,,,,Do research that advances the state of the art of machine learning,,,-1,"3,000-3,999",$100-$999
115,2019,501,25-29,Male,-1,Analyze and understand data to influence product or business decisions,,,,,,,,-1,"40,000-49,999","$1000-$9,999"
116,2019,483,18-21,Male,-1,,,,,,,,,-1,,
117,2019,386,22-24,Male,-1,,,,,,,,,-1,,
118,2019,835,35-39,Male,-1,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,,-1,"40,000-49,999","$1000-$9,999"
119,2019,146,22-24,Male,-1,,,,,,,,,-1,"60,000-69,999",$0 (USD)
120,2019,655,25-29,Prefer not to say,-1,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,,-1,$0-999,$100-$999
121,2019,583,40-44,Male,-1,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,,,,,,-1,"> $500,000","> $100,000 ($USD)"
122,2019,406,25-29,Male,-1,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,Experimentation and iteration to improve existing ML models,,,,-1,"80,000-89,999",$0 (USD)
123,2019,422,25-29,Male,-1,,,,,,,,,-1,,
124,2019,638,30-34,Male,-1,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,,-1,"150,000-199,999","$1000-$9,999"
125,2019,509,22-24,Male,-1,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,,-1,"20,000-24,999","$10,000-$99,999"
126,2019,2591,25-29,Male,-1,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,,,,,,-1,"25,000-29,999",$100-$999
127,2019,349,25-29,Male,-1,,,,,,,,,-1,,
128,2019,562,22-24,Male,-1,,,,,,,,,-1,,
129,2019,347,22-24,Male,-1,,,,,,,,,-1,,
130,2019,493,22-24,Male,-1,,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,,,,,-1,"30,000-39,999",$100-$999
131,2019,549,18-21,Female,-1,,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,,,,,-1,"15,000-19,999",$100-$999
132,2019,613,18-21,Male,-1,,,,,,,,,-1,,
133,2019,438,45-49,Male,-1,,,,,,,,,-1,"300,000-500,000",$1-$99
134,2019,456,30-34,Female,-1,,,,,Experimentation and iteration to improve existing ML models,,,,-1,"2,000-2,999",$0 (USD)
135,2019,851,25-29,Male,-1,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,,,,,-1,"25,000-29,999",$100-$999
136,2019,1235,50-54,Male,-1,,,,,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,,-1,"50,000-59,999","$1000-$9,999"
137,2019,395,18-21,Female,-1,,,,,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,,-1,"4,000-4,999",$1-$99
138,2019,432,22-24,Male,-1,,,,,,,,,-1,,
139,2019,925,25-29,Male,-1,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,,-1,"25,000-29,999","$1000-$9,999"
140,2019,598,30-34,Male,-1,,,,,,,,,-1,,
141,2019,180,30-34,Male,-1,,,,,,,,,-1,"20,000-24,999",$0 (USD)
142,2019,1120,40-44,Male,-1,,,Build prototypes to explore applying machine learning to new areas,,,,,,-1,"40,000-49,999","> $100,000 ($USD)"
143,2019,1475,60-69,Male,-1,,,,,,,,,-1,"100,000-124,999","> $100,000 ($USD)"
144,2019,1210,45-49,Female,-1,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,,,,,-1,"15,000-19,999",$0 (USD)
145,2019,1149,25-29,Male,-1,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,,Do research that advances the state of the art of machine learning,,,-1,"1,000-1,999","$10,000-$99,999"
146,2019,375,55-59,Male,-1,,,,,,,,,-1,"150,000-199,999",$0 (USD)
147,2019,586,30-34,Male,-1,,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,,-1,"30,000-39,999",$100-$999
148,2019,538,22-24,Male,-1,,,,,,,,,-1,,
149,2019,470,18-21,Male,-1,,,,,,,,,-1,,
150,2019,1449,55-59,Male,-1,,,Build prototypes to explore applying machine learning to new areas,,,,,,-1,"125,000-149,999","$1000-$9,999"
151,2019,42,30-34,Male,-1,,,,,,,,,-1,,
152,2019,762,25-29,Male,-1,Analyze and understand data to influence product or business decisions,,,,,,,,-1,$0-999,$1-$99
153,2019,982,35-39,Male,-1,,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,,,Do research that advances the state of the art of machine learning,,,-1,"20,000-24,999",$100-$999
154,2019,1042,40-44,Male,-1,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,,-1,"30,000-39,999",$100-$999
155,2019,632,22-24,Male,-1,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,,-1,"10,000-14,999",$100-$999
156,2019,441,45-49,Female,-1,Analyze and understand data to influence product or business decisions,,,,,,,,-1,"200,000-249,999","> $100,000 ($USD)"
157,2019,582,22-24,Male,-1,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,,,,,-1,"7,500-9,999",$1-$99
158,2019,321,30-34,Male,-1,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,,-1,"50,000-59,999",$1-$99
159,2019,326,40-44,Male,-1,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,,,,,-1,"30,000-39,999",$0 (USD)
160,2019,983,35-39,Male,-1,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,,-1,"125,000-149,999","> $100,000 ($USD)"
161,2019,483,35-39,Male,-1,,,,,,,,,-1,"30,000-39,999",$100-$999
162,2019,519,30-34,Male,-1,,,,,,,,,-1,"5,000-7,499",$1-$99
163,2019,478,35-39,Female,-1,,,,,,,,,-1,,
164,2019,368,18-21,Male,-1,,,,,,,,,-1,,
165,2019,747,18-21,Male,-1,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,,-1,"10,000-14,999","$1000-$9,999"
166,2019,1581,25-29,Male,-1,,,,,,,,,-1,"3,000-3,999",$0 (USD)
167,2019,518,35-39,Male,-1,Analyze and understand data to influence product or business decisions,,,,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,,-1,"125,000-149,999","$10,000-$99,999"
168,2019,479,35-39,Male,-1,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,,,,,,-1,"125,000-149,999","$1000-$9,999"
169,2019,1008,35-39,Male,-1,,,Build prototypes to explore applying machine learning to new areas,,,,,,-1,"125,000-149,999","$1000-$9,999"
170,2019,543,30-34,Female,-1,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,,,Do research that advances the state of the art of machine learning,,,-1,"40,000-49,999",$100-$999
171,2019,2055,18-21,Female,-1,,,,,,,,,-1,,
172,2019,482,18-21,Male,-1,,,,,,,,,-1,,
173,2019,444,25-29,Male,-1,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,,-1,"60,000-69,999","$10,000-$99,999"
174,2019,491,18-21,Male,-1,,,,,,,,,-1,,
175,2019,431,30-34,Male,-1,,,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,,-1,"30,000-39,999",$0 (USD)
176,2019,309,22-24,Male,-1,,,,,,,,,-1,,
